Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,PS4,Rockstar Games,Rockstar North,,9.7,,,19.39,6.06,9.71,0.6,3.02,2014,03rd Jan 18,http://www.vgchartz.com/game/83196/grand-theft-auto-v/?region=All,1,,/games/boxart/full_5563178AmericaFrontccc.jpg
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,PS4,Activision,Treyarch,,,,,15.09,6.18,6.05,0.41,2.44,2015,14th Jan 18,http://www.vgchartz.com/game/85359/call-of-duty-black-ops-3/?region=All,1,,/games/boxart/full_4990510AmericaFrontccc.jpg
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,,9.8,,,13.94,5.26,6.21,0.21,2.26,2018,02nd Nov 18,http://www.vgchartz.com/game/140683/red-dead-redemption-2/?region=All,1,8,/games/boxart/full_4653215AmericaFrontccc.jpg
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,PS4,Activision,Sledgehammer Games,,8,,,13.4,4.67,6.21,0.4,2.12,2017,31st Dec 17,http://www.vgchartz.com/game/170599/call-of-duty-wwii/?region=All,1,,/games/boxart/full_4380292AmericaFrontccc.jpg
69,FIFA 18,fifa-18,Sports,E,PS4,EA Sports,EA Vancouver,,8.3,,,11.8,1.27,8.64,0.15,1.73,2017,02nd Apr 18,http://www.vgchartz.com/game/180525/fifa-18/?region=All,1,,/games/boxart/full_5257064AmericaFrontccc.jpg
77,FIFA 17,fifa-17,Sports,E,PS4,Electronic Arts,EA Canada,,8.9,,,10.94,1.26,7.95,0.12,1.61,2016,28th Mar 18,http://www.vgchartz.com/game/117272/fifa-17/?region=All,1,,/games/boxart/full_7661370AmericaFrontccc.jpg
85,Horizon: Zero Dawn,horizon-zero-dawn,Action,T,PS4,Sony Interactive Entertainment,Guerrilla Games,,9.1,8,10,,,,,,2017,15th Jan 18,http://www.vgchartz.com/game/85674/horizon-zero-dawn/?region=All,1,,/games/boxart/full_719511AmericaFrontccc.jpg
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,PS4,Activision,Treyarch,,,,,9.32,4.05,3.28,0.5,1.49,2018,07th Nov 18,http://www.vgchartz.com/game/221291/call-of-duty-black-ops-iiii/?region=All,1,,/games/boxart/full_6532460AmericaFrontccc.jpg
101,FIFA 19,fifa-19,Sports,E,PS4,Electronic Arts,EA Sports,,,,,9.15,0.84,6.87,0.1,1.34,2018,12th Sep 18,http://www.vgchartz.com/game/222165/fifa-19/?region=All,1,,/games/boxart/full_5970958AmericaFrontccc.jpg
103,Marvel's Spider-Man,marvels-spider-man,Action-Adventure,T,PS4,Sony Interactive Entertainment,Insomniac Games,,9.1,,9,,,,,,2018,26th Sep 18,http://www.vgchartz.com/game/120133/marvels-spider-man/?region=All,1,8,/games/boxart/full_7960565AmericaFrontccc.jpg
109,Uncharted 4: A Thief's End,uncharted-4-a-thiefs-end,Action,T,PS4,Sony Interactive Entertainment,Naughty Dog,,9.2,,8.7,,,,,,2016,23rd Sep 18,http://www.vgchartz.com/game/77189/uncharted-4-a-thiefs-end/?region=All,1,,/games/boxart/full_2804791AmericaFrontccc.jpg
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,PS4,Activision,Infinity Ward,,,,,8.48,3.11,3.83,0.19,1.36,2016,14th Jan 18,http://www.vgchartz.com/game/108777/call-of-duty-infinite-warfare/?region=All,1,,/games/boxart/full_5706058AmericaFrontccc.jpg
114,Fallout 4,fallout-4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,,8.6,,,8.48,2.91,3.97,0.27,1.34,2015,24th Mar 18,http://www.vgchartz.com/game/85599/fallout-4/?region=All,1,,/games/boxart/full_2507140AmericaFrontccc.jpg
119,FIFA 16,fifa-16,Sports,E,PS4,EA Sports,EA Canada,,8.5,,,8.22,1.15,5.77,0.07,1.23,2015,01st Apr 18,http://www.vgchartz.com/game/85616/fifa-16/?region=All,1,,/games/boxart/full_862315AmericaFrontccc.jpg
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,PS4,Electronic Arts,EA DICE,,7.1,,,8.03,3.31,3.19,0.23,1.3,2015,24th Mar 18,http://www.vgchartz.com/game/83364/star-wars-battlefront-2015/?region=All,1,,/games/boxart/full_4873252AmericaFrontccc.jpg
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,PS4,Activision,Sledgehammer Games,,8.5,,,7.53,2.84,3.34,0.14,1.22,2014,04th Jan 18,http://www.vgchartz.com/game/81797/call-of-duty-advanced-warfare/?region=All,1,,/games/boxart/full_514368AmericaFrontccc.jpg
138,Battlefield 1,battlefield-1,Shooter,M,PS4,Electronic Arts,EA DICE,,,,,7.26,2.2,3.65,0.29,1.12,2016,24th Mar 18,http://www.vgchartz.com/game/110843/battlefield-1/?region=All,1,,/games/boxart/full_9032449AmericaFrontccc.png
167,Minecraft,minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,,9.4,,,6.33,1.89,3.13,0.35,0.96,2014,14th Sep 18,http://www.vgchartz.com/game/75586/minecraft/?region=All,1,,/games/boxart/full_6776646AmericaFrontccc.jpg
168,FIFA 15,fifa-15,Sports,E,PS4,EA Sports,EA Canada,,8.1,,,6.32,0.83,4.49,0.05,0.94,2014,23rd Mar 18,http://www.vgchartz.com/game/82916/fifa-15/?region=All,1,,/games/boxart/full_189344AmericaFrontccc.jpg
174,God of War (2018),god-of-war-2018,Action,M,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,,9.7,,,6.15,2.83,2.17,0.13,1.02,2018,03rd Dec 18,http://www.vgchartz.com/game/120125/god-of-war-2018/?region=All,1,9,/games/boxart/full_3094030AmericaFrontccc.jpg
191,Destiny,destiny,Shooter,T,PS4,Activision,Bungie,,,,,5.76,2.53,2.13,0.16,0.94,2014,12th Jan 18,http://www.vgchartz.com/game/71525/destiny/?region=All,1,,/games/boxart/full_6703728AmericaFrontccc.jpg
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,,PS4,Sony Computer Entertainment,Bluepoint Games,,,,,5.7,2.55,2.11,0.1,0.94,2015,,http://www.vgchartz.com/game/85628/uncharted-the-nathan-drake-collection/?region=All,1,,/games/boxart/full_421168AmericaFrontccc.jpg
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,M,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,,,,,5.39,1.48,2.82,0.28,0.81,2015,04th May 18,http://www.vgchartz.com/game/71482/the-witcher-3-wild-hunt/?region=All,1,,/games/boxart/full_7461389AmericaFrontccc.jpg
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,PS4,Square Enix,Square Enix,,8.1,,,5.07,1.81,1.53,1.05,0.68,2016,04th May 18,http://www.vgchartz.com/game/73124/final-fantasy-xv/?region=All,1,,/games/boxart/full_1882754JapanFrontccc.jpg
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,PS4,Activision,Vicarious Visions,,,,,4.83,1.09,2.92,0.07,0.74,2017,23rd Sep 18,http://www.vgchartz.com/game/150131/crash-bandicoot-n-sane-trilogy/?region=All,1,,/games/boxart/full_2372411AmericaFrontccc.jpg
285,Monster Hunter: World,monster-hunter-world,Action,T,PS4,Capcom,Capcom,,9.3,9,,4.67,1.03,1.06,2.17,0.42,2018,30th Jan 18,http://www.vgchartz.com/game/182721/monster-hunter-world/?region=All,1,,/games/boxart/full_9898553AmericaFrontccc.png
298,Overwatch,overwatch,Shooter,T,PS4,Blizzard Entertainment,Blizzard Entertainment,,8.8,,,4.54,1.84,1.8,0.17,0.73,2016,24th Mar 18,http://www.vgchartz.com/game/86157/overwatch/?region=All,1,,/games/boxart/full_8847041AmericaFrontccc.jpg
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,T,PS4,Electronic Arts,EA DICE,,,,,4.53,1.7,1.99,0.12,0.73,2017,29th Dec 17,http://www.vgchartz.com/game/169396/star-wars-battlefront-ii-2017/?region=All,1,,/games/boxart/full_4032018AmericaFrontccc.jpg
319,Tom Clancy's The Division,tom-clancys-the-division,Shooter,M,PS4,Ubisoft,Massive Entertainment,,,,,4.37,1.49,2.04,0.16,0.69,2016,04th May 18,http://www.vgchartz.com/game/73095/tom-clancys-the-division/?region=All,1,,/games/boxart/full_8077647AmericaFrontccc.jpg
322,Tom Clancy's Rainbow Six: Siege,tom-clancys-rainbow-six-siege,Shooter,,PS4,Ubisoft,Ubisoft Montreal,,,,,4.36,1.29,2.06,0.36,0.64,2015,,http://www.vgchartz.com/game/82933/tom-clancys-rainbow-six-siege/?region=All,1,,/games/boxart/full_2998894AmericaFrontccc.jpg
324,Watch Dogs,watch-dogs,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,,,,,4.32,1.4,2.13,0.11,0.68,2014,15th Mar 18,http://www.vgchartz.com/game/71547/watch-dogs/?region=All,1,,/games/boxart/full_5952592AmericaFrontccc.jpg
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,PS4,Activision,Infinity Ward,,7.5,,,4.17,1.79,1.64,0.05,0.69,2013,21st Mar 18,http://www.vgchartz.com/game/72126/call-of-duty-ghosts/?region=All,1,,/games/boxart/full_9732403AmericaFrontccc.jpg
352,Assassin's Creed: Unity,assassins-creed-unity,Action,M,PS4,Ubisoft,Ubisoft Montreal,,,,,4.14,1.25,2.16,0.09,0.65,2014,04th May 18,http://www.vgchartz.com/game/80235/assassins-creed-unity/?region=All,1,,/games/boxart/full_9858108AmericaFrontccc.jpg
353,Destiny 2,destiny-2,Shooter,T,PS4,Activision,Bungie,,,,,4.14,1.92,1.44,0.1,0.69,2017,20th Apr 18,http://www.vgchartz.com/game/166065/destiny-2/?region=All,1,,/games/boxart/full_9963001AmericaFrontccc.jpg
