Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,Year,New Average Prices
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,28.11,2014.0,30.835
46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,19.71,2018.0,41.475
69,FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,14.940000000000001,2017.0,8.23
77,FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,14.649999999999999,2016.0,7.645
101,FIFA 19,Sports,E,PS4,Electronic Arts,EA Sports,,11.370000000000001,2018.0,12.05
113,Call of Duty: Infinite Warfare,Shooter,M,PS4,Activision,Infinity Ward,,13.27,2016.0,13.16
114,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,13.510000000000002,2015.0,12.96
119,FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,11.47,2015.0,6.515
138,Battlefield 1,Shooter,M,PS4,Electronic Arts,EA DICE,,12.39,2016.0,8.795
167,Minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,11.76,2014.0,34.975
168,FIFA 15,Sports,E,PS4,EA Sports,EA Canada,8.1,8.51,2014.0,10.835
191,Destiny,Shooter,T,PS4,Activision,Bungie,,9.17,2014.0,11.100000000000001
250,Final Fantasy XV,Role-Playing,T,PS4,Square Enix,Square Enix,8.1,6.21,2016.0,16.740000000000002
274,Crash Bandicoot N. Sane Trilogy,Platform,E10,PS4,Activision,Vicarious Visions,,5.48,2017.0,37.989999999999995
285,Monster Hunter: World,Action,T,PS4,Capcom,Capcom,9.3,5.6,2018.0,24.205
319,Tom Clancy's The Division,Shooter,M,PS4,Ubisoft,Massive Entertainment,,6.96,2016.0,14.02
324,Watch Dogs,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,,5.96,2014.0,23.6
352,Assassin's Creed: Unity,Action,M,PS4,Ubisoft,Ubisoft Montreal,,7.72,2014.0,18.82
353,Destiny 2,Shooter,T,PS4,Activision,Bungie,,6.49,2017.0,7.6899999999999995
356,Batman: Arkham Knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,5.69,2015.0,27.654999999999998
363,Far Cry 4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,8.4,5.739999999999999,2014.0,20.05
381,NBA 2K16,Sports,E10,PS4,2K Sports,Visual Concepts,8.7,6.390000000000001,2015.0,16.855
383,Far Cry 5,Action,M,PS4,Ubisoft,Ubisoft,7.9,5.73,2018.0,24.365000000000002
384,Battlefield 4,Shooter,M,PS4,Electronic Arts,EA DICE,8.3,6.029999999999999,2013.0,19.59
401,Gran Turismo Sport,Racing,E,PS4,Sony Interactive Entertainment,Polyphony Digital,,3.77,2017.0,15.55
430,Assassin's Creed Syndicate,Action,M,PS4,Ubisoft,Ubisoft Quebec,8.6,5.04,2015.0,24.325
447,NBA 2K17,Sports,E,PS4,2K Sports,Visual Concepts,9.0,5.5600000000000005,2016.0,10.709999999999999
458,Mortal Kombat X,Fighting,M,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,,5.23,2015.0,27.075
468,FIFA 14,Sports,E,PS4,EA Sports,EA Canada,,4.74,2013.0,10.785
480,Watch Dogs 2,Action,,PS4,Ubisoft,Ubisoft,,4.71,2016.0,19.04
485,NBA 2K18,Sports,E10,PS4,2K Sports,Visual Concepts,8.1,5.359999999999999,2017.0,8.0
494,Madden NFL 16,Sports,E,PS4,EA Sports,EA Tiburon,8.2,5.77,2015.0,11.71
501,Madden NFL 17,Sports,E,PS4,EA Sports,EA Tiburon,8.5,5.72,2016.0,9.125
517,Assassin's Creed IV: Black Flag,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,8.3,5.51,2013.0,24.975
520,Assassin's Creed Odyssey,Action-Adventure,M,PS4,Ubisoft,Ubisoft Quebec,9.5,4.57,2018.0,26.04
553,Metal Gear Solid V: The Phantom Pain,Action,M,PS4,Konami Digital Entertainment,Kojima Productions,,3.87,2015.0,17.345
605,Mafia III,Action-Adventure,M,PS4,2K Games,Hangar 13,6.9,3.9800000000000004,2016.0,21.355
690,NBA 2K19,Sports,E,PS4,2K Sports,Visual Concepts,,4.37,2018.0,11.350000000000001
692,Madden NFL 18,Sports,E,PS4,EA Sports,EA Tiburon,8.2,4.53,2017.0,7.755000000000001
741,NBA 2K15,Sports,E,PS4,2K Sports,Visual Concepts,,4.23,2014.0,10.86
757,Dying Light,Action,M,PS4,Warner Bros. Interactive,Techland,,3.92,2015.0,26.44
804,Uncharted: The Lost Legacy,Action,,PS4,Sony Interactive Entertainment,Naughty Dog,,2.37,2017.0,15.47
817,Dragon Age: Inquisition,Role-Playing,M,PS4,Electronic Arts,BioWare Edmonton,,3.33,2014.0,21.675
855,No Man's Sky,Action-Adventure,T,PS4,Hello Games,Hello Games,6.8,2.4899999999999998,2016.0,39.99
860,Madden NFL 15,Sports,E,PS4,EA Sports,EA Tiburon,,3.85,2014.0,14.96
869,Battlefield V,Shooter,M,PS4,Electronic Arts,EA DICE,,3.7700000000000005,2018.0,20.68
876,Madden NFL 19,Sports,,PS4,EA Sports,EA Tiburon,,3.7199999999999998,2018.0,10.825
901,Spyro Reignited Trilogy,Platform,,PS4,Activision,Toys for Bob,,2.82,2018.0,33.48
907,Need for Speed Rivals,Racing,E10,PS4,Electronic Arts,Ghost Games,,2.87,2013.0,22.245
908,PlayStation VR Worlds,Misc,M,PS4,Sony Interactive Entertainment,SIE London Studio,,2.16,2016.0,14.23
966,LittleBigPlanet 3,Platform,E,PS4,Sony Computer Entertainment,Sumo Digital,,2.06,2014.0,13.01
990,Dragon Quest XI: Echoes of an Elusive Age,Role-Playing,T,PS4,Square Enix,Square Enix,10.0,2.04,2018.0,18.0
1026,Just Cause 3,Action-Adventure,M,PS4,Square Enix,Avalanche Studios,7.5,2.99,2015.0,17.869999999999997
1036,Dishonored 2,Action,M,PS4,Bethesda Softworks,Arkane Studios,,2.83,2016.0,12.93
1087,Until Dawn,Adventure,M,PS4,Sony Computer Entertainment,Supermassive Games Ltd.,,1.9,2015.0,14.99
1113,The Evil Within,Action,M,PS4,Bethesda Softworks,Tango Gameworks,7.7,2.55,2014.0,39.114999999999995
1163,The Crew,Racing,T,PS4,Ubisoft,Ubisoft Reflections,,2.5,2014.0,16.27
1197,For Honor,Action,M,PS4,Ubisoft,Ubisoft Montreal,,2.62,2017.0,12.105
1224,Titanfall 2,Shooter,M,PS4,Electronic Arts,Respawn Entertainment,8.9,3.09,2016.0,10.33
1228,Injustice 2,Fighting,T,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,,2.61,2017.0,19.525000000000002
1315,Persona 5,Role-Playing,M,PS4,Atlus,Atlus,,1.64,2017.0,16.23
1335,The Order: 1886,Shooter,M,PS4,Sony Computer Entertainment,Ready at Dawn,6.2,1.62,2015.0,14.53
1346,Wolfenstein: The New Order,Shooter,M,PS4,Bethesda Softworks,MachineGames,,2.3600000000000003,2014.0,22.564999999999998
1417,NBA 2K14,Sports,E,PS4,2K Sports,Visual Concepts,,2.48,2013.0,18.25
1473,Rayman Legends,Platform,E10,PS4,Ubisoft,Ubisoft Montpellier,,1.5,2014.0,23.154999999999998
1544,Dragon Ball FighterZ,Fighting,T,PS4,Namco Bandai Games,Arc System Works,,1.46,2018.0,25.07
1583,South Park: The Fractured But Whole,Role-Playing,M,PS4,Ubisoft,Ubisoft San Francisco,,1.43,2017.0,14.195
1632,Street Fighter V,Fighting,T,PS4,Capcom,Capcom,,1.39,2016.0,21.28
1676,Wolfenstein II: The New Colossus,Shooter,M,PS4,Bethesda Softworks,MachineGames,9.0,1.36,2017.0,14.085
1718,WWE 2K18,Sports,,PS4,2K Sports,Yuke's,,1.33,2017.0,22.43
1736,Fallout 76,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,5.1,1.32,2018.0,15.0
1786,The Last Guardian,Action-Adventure,T,PS4,Sony Interactive Entertainment,SIE Japan Studio,7.9,1.29,2016.0,26.48
1792,WWE 2K16,Sports,T,PS4,Take-Two Interactive,Yuke's,,1.29,2015.0,36.295
1799,Borderlands: The Handsome Collection,Shooter,,PS4,2K Games,Gearbox Software,,1.28,2015.0,19.275
1902,WWE 2K17,Sports,T,PS4,2K Games,Yuke's,,1.22,2016.0,24.355
1934,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,PS4,Konami Digital Entertainment,Kojima Productions,7.6,1.2,2014.0,19.53
1958,Shadow of the Colossus,Action-Adventure,T,PS4,Sony Interactive Entertainment,Bluepoint Games,9.3,1.2,2018.0,40.5
1989,LEGO Jurassic World,Action,E10,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.18,2015.0,21.885
2008,WWE 2K15,Sports,T,PS4,2K Sports,Visual Concepts,,1.16,2014.0,45.75
2012,MLB The Show 17,Sports,E,PS4,Sony Interactive Entertainment,SIE San Diego Studio,,1.16,2017.0,5.0
2074,LEGO Worlds,Misc,,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.14,2017.0,19.865000000000002
2121,LEGO Marvel Super Heroes 2,Action,E10,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.11,2017.0,19.884999999999998
2195,Alien: Isolation,Adventure,M,PS4,Sega,Creative Assembly,,1.09,2014.0,32.085
2247,MLB The Show 18,Sports,E,PS4,Sony Interactive Entertainment,SIE San Diego Studio,,1.06,2018.0,8.02
2288,The Evil Within 2,Action,M,PS4,Bethesda Softworks,Tango Gameworks,,1.05,2017.0,14.14
2326,Nioh,Action,M,PS4,Sony Interactive Entertainment,Team Ninja,,1.03,2017.0,11.26
2363,MLB 15: The Show,Sports,E,PS4,Sony Computer Entertainment,SCE San Diego Studio,,1.01,2015.0,11.36
2365,Steep,Sports,,PS4,Ubisoft,Ubisoft Annecy,,1.01,2016.0,28.49
2372,LEGO Marvel's Avengers,Action,E10,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.01,2016.0,17.685000000000002
2383,Evolve,Shooter,M,PS4,2K Games,Turtle Rock Studios,,1.01,2015.0,17.6
2465,WWE 2K19,Fighting,,PS4,2K Sports,Visual Concepts,,0.98,2018.0,52.0
2480,Injustice: Gods Among Us Ultimate Edition,Fighting,T,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,,0.98,2013.0,14.97
2519,Madden NFL 25,Sports,E,PS4,EA Sports,EA Tiburon,7.4,0.96,2013.0,26.300000000000004
