Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,XOne,Rockstar Games,Rockstar North,,9,9,,8.72,4.7,3.25,0.01,0.76,2014,11th Apr 18,http://www.vgchartz.com/game/73074/grand-theft-auto-v/?region=All,1,,/games/boxart/full_8047513AmericaFrontccc.jpg
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,XOne,Activision,Treyarch,,,,,7.37,4.63,2.04,0.02,0.68,2015,14th Jan 18,http://www.vgchartz.com/game/85358/call-of-duty-black-ops-3/?region=All,1,,/games/boxart/full_8414457AmericaFrontccc.jpg
173,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,XOne,Activision,Sledgehammer Games,,,,,6.23,3.75,1.91,,0.57,2017,30th Dec 17,http://www.vgchartz.com/game/170598/call-of-duty-wwii/?region=All,1,,/games/boxart/full_9289123AmericaFrontccc.jpg
189,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,XOne,Rockstar Games,Rockstar Games,,,,,5.77,3.76,1.47,,0.54,2018,02nd Nov 18,http://www.vgchartz.com/game/140684/red-dead-redemption-2/?region=All,1,,/games/boxart/full_1425733AmericaFrontccc.jpg
212,Minecraft,minecraft,Misc,E10,XOne,Microsoft Studios,Mojang,,,,,5.43,3.23,1.71,,0.49,2014,14th Sep 18,http://www.vgchartz.com/game/73065/minecraft/?region=All,1,,/games/boxart/full_739755AmericaFrontccc.jpg
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,XOne,Activision,Sledgehammer Games,,8.3,,,5.22,3.25,1.49,0.01,0.48,2014,01st Jan 18,http://www.vgchartz.com/game/81798/call-of-duty-advanced-warfare/?region=All,1,,/games/boxart/full_6401955AmericaFrontccc.jpg
239,Battlefield 1,battlefield-1,Shooter,M,XOne,Electronic Arts,EA DICE,,,,,5.13,3.37,1.26,0.02,0.48,2016,24th Mar 18,http://www.vgchartz.com/game/110844/battlefield-1/?region=All,1,,/games/boxart/full_601699AmericaFrontccc.png
251,Fallout 4,fallout-4,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Game Studios,,8.4,,,5.03,2.94,1.62,0.02,0.45,2015,24th Mar 18,http://www.vgchartz.com/game/85598/fallout-4/?region=All,1,,/games/boxart/full_4876777AmericaFrontccc.jpg
259,Halo 5: Guardians,halo-5-guardians,Shooter,T,XOne,Microsoft Studios,343 Industries,,8.6,,5,,,,,,2015,24th Mar 18,http://www.vgchartz.com/game/82148/halo-5-guardians/?region=All,1,,/games/boxart/full_5219144AmericaFrontccc.jpg
272,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,XOne,Activision,Treyarch,,,,,4.85,3.27,1.12,,0.46,2018,07th Nov 18,http://www.vgchartz.com/game/221290/call-of-duty-black-ops-iiii/?region=All,1,,/games/boxart/full_1714505AmericaFrontccc.jpg
