Unnamed: 0,time,Rank,Product Names,Authors/Company,Price_std_or_min
0,7/31/2020,1,Controle Dualshock 4 - PlayStation 4 - Preto,PlayStation,269.9
1,7/31/2020,2,Death Stranding - Edição Padrão - PlayStation 4,Playstation,78.9
3,7/31/2020,4,Horizon Zero Dawn Complete Edition Hits - PlayStation 4,Playstation,53.9
5,7/31/2020,6,The Last of Us Part II - Edição  Padrão - PlayStation 4,Playstation,246.39
6,7/31/2020,7,Ghost Of Tsushima Edição Padrão - PlayStation 4,Playstation,246.39
8,7/31/2020,9,Controle Dualshock 4 - PlayStation 4 - Berry Blue,PlayStation,289.0
10,7/31/2020,11,Controle Dualshock 4 - PlayStation 4 - Branco Glacial,PlayStation,275.41
14,7/31/2020,15,Headset Sem Fio Série Ouro - Preto - Playstation 4,Playstation,445.59
15,7/31/2020,16,Marvel's Spider-Man - Edição Jogo do Ano - PlayStation 4,Playstation,126.9
19,7/31/2020,20,Uncharted 4 Thief`s End Hits - PlayStation 4,Playstation,49.99
23,7/31/2020,24,Medievil - PlayStation 4,Playstation,55.92
24,7/31/2020,25,Days Gone - PlayStation 4,Playstation,66.09
34,7/31/2020,35,The Last Of Us Remasterizado Hits - PlayStation 4,Playstation,61.32
38,7/31/2020,39,Nioh 2 - PlayStation 4,Playstation,120.18
41,7/31/2020,42,God Of War Hits - PlayStation 4,Playstation,79.9
43,7/31/2020,44,Controle Dualshock 4 - PlayStation 4 - Camuflado,PlayStation,289.0
47,7/31/2020,48,Pro Evolution Soccer eFootball PES 2020 - PlayStation 4,Playstation,119.99
49,7/31/2020,50,Control - Edição Padrão - PlayStation 4,Playstation,129.99
50,7/31/2020,1,Controle Dualshock 4 - PlayStation 4 - Preto,PlayStation,262.9
52,7/31/2020,3,Death Stranding - Edição Padrão - PlayStation 4,Playstation,78.9
53,7/31/2020,4,Days Gone - PlayStation 4,Playstation,79.0
54,7/31/2020,5,The Last of Us Part II - Edição  Padrão - PlayStation 4,Playstation,236.83
55,7/31/2020,6,Horizon Zero Dawn Complete Edition Hits - PlayStation 4,Playstation,53.9
56,7/31/2020,7,Ghost Of Tsushima Edição Padrão - PlayStation 4,Playstation,246.39
60,7/31/2020,11,Controle Dualshock 4 - PlayStation 4 - Berry Blue,PlayStation,289.0
61,7/31/2020,12,Headset Sem Fio Série Ouro - Preto - Playstation 4,Playstation,445.59
64,7/31/2020,15,Controle Dualshock 4 - PlayStation 4 - Branco Glacial,PlayStation,275.41
68,7/31/2020,19,Medievil - PlayStation 4,Playstation,55.92
69,7/31/2020,20,Marvel's Spider-Man - Edição Jogo do Ano - PlayStation 4,Playstation,126.9
73,7/31/2020,24,Uncharted 4 Thief`s End Hits - PlayStation 4,Playstation,49.99
83,7/31/2020,34,The Last Of Us Remasterizado Hits - PlayStation 4,Playstation,61.32
84,7/31/2020,35,Pro Evolution Soccer eFootball PES 2020 - PlayStation 4,Playstation,119.99
87,7/31/2020,38,God Of War Hits - PlayStation 4,Playstation,79.9
93,7/31/2020,44,Nioh 2 - PlayStation 4,Playstation,120.18
96,7/31/2020,47,Bloodborne Hits - PlayStation 4,Playstation,60.64
100,7/31/2020,1,Controle Dualshock 4 - PlayStation 4 - Preto,PlayStation,262.9
102,7/31/2020,3,Death Stranding - Edição Padrão - PlayStation 4,Playstation,78.9
103,7/31/2020,4,Days Gone - PlayStation 4,Playstation,79.0
104,7/31/2020,5,The Last of Us Part II - Edição  Padrão - PlayStation 4,Playstation,236.83
105,7/31/2020,6,Horizon Zero Dawn Complete Edition Hits - PlayStation 4,Playstation,53.9
106,7/31/2020,7,Ghost Of Tsushima Edição Padrão - PlayStation 4,Playstation,246.39
110,7/31/2020,11,Controle Dualshock 4 - PlayStation 4 - Berry Blue,PlayStation,289.0
111,7/31/2020,12,Headset Sem Fio Série Ouro - Preto - Playstation 4,Playstation,445.59
114,7/31/2020,15,Controle Dualshock 4 - PlayStation 4 - Branco Glacial,PlayStation,275.41
118,7/31/2020,19,Medievil - PlayStation 4,Playstation,55.92
119,7/31/2020,20,Marvel's Spider-Man - Edição Jogo do Ano - PlayStation 4,Playstation,126.9
123,7/31/2020,24,Uncharted 4 Thief`s End Hits - PlayStation 4,Playstation,49.99
133,7/31/2020,34,The Last Of Us Remasterizado Hits - PlayStation 4,Playstation,61.32
134,7/31/2020,35,Pro Evolution Soccer eFootball PES 2020 - PlayStation 4,Playstation,119.99
137,7/31/2020,38,God Of War Hits - PlayStation 4,Playstation,79.9
143,7/31/2020,44,Nioh 2 - PlayStation 4,Playstation,120.18
146,7/31/2020,47,Bloodborne Hits - PlayStation 4,Playstation,60.64
150,7/31/2020,1,Controle Dualshock 4 - PlayStation 4 - Preto,PlayStation,262.9
152,7/31/2020,3,Death Stranding - Edição Padrão - PlayStation 4,Playstation,78.9
153,7/31/2020,4,Days Gone - PlayStation 4,Playstation,79.0
154,7/31/2020,5,The Last of Us Part II - Edição  Padrão - PlayStation 4,Playstation,236.83
155,7/31/2020,6,Horizon Zero Dawn Complete Edition Hits - PlayStation 4,Playstation,53.9
156,7/31/2020,7,Ghost Of Tsushima Edição Padrão - PlayStation 4,Playstation,246.39
160,7/31/2020,11,Controle Dualshock 4 - PlayStation 4 - Berry Blue,PlayStation,289.0
161,7/31/2020,12,Headset Sem Fio Série Ouro - Preto - Playstation 4,Playstation,445.59
164,7/31/2020,15,Controle Dualshock 4 - PlayStation 4 - Branco Glacial,PlayStation,275.41
168,7/31/2020,19,Medievil - PlayStation 4,Playstation,55.92
169,7/31/2020,20,Marvel's Spider-Man - Edição Jogo do Ano - PlayStation 4,Playstation,126.9
173,7/31/2020,24,Uncharted 4 Thief`s End Hits - PlayStation 4,Playstation,49.99
183,7/31/2020,34,The Last Of Us Remasterizado Hits - PlayStation 4,Playstation,61.32
184,7/31/2020,35,Pro Evolution Soccer eFootball PES 2020 - PlayStation 4,Playstation,119.99
187,7/31/2020,38,God Of War Hits - PlayStation 4,Playstation,79.9
193,7/31/2020,44,Nioh 2 - PlayStation 4,Playstation,120.18
196,7/31/2020,47,Bloodborne Hits - PlayStation 4,Playstation,60.64
200,7/31/2020,1,Controle Dualshock 4 - PlayStation 4 - Preto,PlayStation,262.9
202,7/31/2020,3,Death Stranding - Edição Padrão - PlayStation 4,Playstation,78.9
203,7/31/2020,4,Days Gone - PlayStation 4,Playstation,79.0
204,7/31/2020,5,The Last of Us Part II - Edição  Padrão - PlayStation 4,Playstation,236.83
